Description,Category
DD DOORDASH SUBWAY,Food/Drinks
RIVIERA EXXON,Gas/Snacks
H-E-B  #202,Groceries
VETSOURCE,Pets
LA FITNESS,Health
Payment Thank You-Mobile,Payments
SHELL OIL 12508189003,Gas/Snacks
SHELL OIL 12508189003,Gas/Snacks
TXTAG 888 468 9824,Travel
DD DOORDASH FIREHOUSE,Food/Drinks
TARGET        00017855,Shopping
TXTAG 888 468 9824,Travel
GINOS VINO ON THE GREE,Food/Drinks
GLF*GolfNowReservation,Entertainment
DD DOORDASH TACOBELL,Food/Drinks
CHEVRON 0381691,Gas/Snacks
DD DOORDASH FIREHOUSE,Food/Drinks
DD *DOORDASH 7-ELEVEN,Food/Drinks
GLF*CRYSTALFALLSGC,Entertainment
TST* RIVERSIDE GOLF COURS,Food/Drinks
AMZN Mktp US*NT6XD67X3,Shopping
RIVERSIDE GOLF COURSE,Entertainment
Payment Thank You-Mobile,Payments
TXTAG 888 468 9824,Travel
MCDONALD'S F33054,Food/Drinks
CHEVRON 0381691,Gas/Snacks
DD DOORDASH SUBWAY,Food/Drinks
7-ELEVEN 36592,Gas/Snacks
H-E-B  #202,Groceries
DD DOORDASH MIGHTYFIN,Food/Drinks
FIREHOUSE SUBS 0431 ECOMM,Food/Drinks
TXTAG 888 468 9824,Travel
CHEVRON 0200170,Gas/Snacks
SP PALM BEACH AUTOGRAP,Shopping
BOUDRO'S RESTAURANT,Food/Drinks
CHEVRON 0200170,Gas/Snacks
GLF*ShadowglenGolf,Entertainment
GLF*SHADOWGLENGOLF,Entertainment
PLAYITAGAINSP #10105,Shopping
SHELL OIL 57543321004,Gas/Snacks
Payment Thank You-Mobile,Payments
PAR*HAT CREEK BURGER WEST,Food/Drinks
H-E-B  #202,Groceries
DOMINO'S 6607,Food/Drinks
BLACKHAWK GOLF CLUB,Entertainment
Payment Thank You-Mobile,Payments
TST* LATCHKEY,Food/Drinks
TXTAG 888 468 9824,Travel
TEXACO 0377023,Gas/Snacks
AMZN Mktp US*6O17H2GK3,Shopping
FIREHOUSE SUBS 0431 ECOMM,Food/Drinks
TST* VALENCIAS TEX-MEX G,Food/Drinks
CHEVRON 0381691,Gas/Snacks
SHELL OIL 10013490007,Gas/Snacks
TST* MIGHTY FINE BURGERS,Food/Drinks
POSITIVEPRINTS,Shopping
DD DOORDASH TACOBELL,Food/Drinks
REGAL CINEMAS INC,Entertainment
CHEVRON 0381691,Gas/Snacks
Payment Thank You-Mobile,Payments
H-E-B  #202,Groceries
DD DOORDASH MIGHTYFIN,Food/Drinks
