Description,Category
ASF DBA Insperi PAYROLL    024031011378171,Income
ASF DBA Insperi PAYROLL    024031011378140,Income
01/30 H-E-B  #218,Groceries
01/30 H-E-B  #218,Groceries
01/29 UBER   *EATS,Food/Drinks
VENMO,Transfers
01/28 UBER   *EATS,Food/Drinks
01/26 APPLE.COM/BILL,Entertainment
01/26 H-E-B  #218,Groceries
01/26 H-E-B  #218,Groceries
Health Plan,Health
01/26 CASH APP*SARAH,Transfers
01/25 POSHMARK,Shopping
01/24 UBER   *EATS,Food/Drinks
01/24 POSHMARK,Shopping
ONLINE XFR DB,Transfers
01/23 TEXASGASSERVICE,Bills
01/20 STARBUCKS STORE,Food/Drinks
01/21 UBER   *EATS,Food/Drinks
01/21 UBER   *EATS,Food/Drinks
01/20 UBER   *TRIP,Travel
01/20 UBER   *TRIP,Travel
01/20 DEEP EDDY VODKA,Food/Drinks
01/20 DEEP EDDY VODKA,Food/Drinks
01/19 UBER   *EATS,Food/Drinks
MOBILE PAYMENT,Payments
MOBILE XFR DB,Transfers
01/17 APPLE.COM/BILL,Entertainment
01/18 UBER   *EATS,Food/Drinks
01/18 LEMONADE I* LEM,Food/Drinks
ASF DBA Insperi PAYROLL    024017001878759,Income
01/17 UBER   *EATS,Food/Drinks
01/17 SOUTHWES,Travel
01/17 NETFLIX COM,Entertainment
01/15 APPLE.COM/BILL,Entertainment
01/14 UBER   EATS,Food/Drinks
01/14 TJMAXX #0266,Shopping
01/15 TXTAG 888 468 9,Travel
01/15 H-E-B  #218,Groceries
01/14 TRADER JOE S #4,Groceries
VENMO            CASHOUT    024016007203325,Transfers
01/12 UBER   *EATS,Food/Drinks
01/12 UBER   *EATS,Food/Drinks
City of Austin T,Bills
01/09 ACTIV N FIT,Health
DISCOVER,Payments
01/06 H-E-B  #218,Groceries
ASF DBA Insperi PAYROLL    024003009905983,Income
01/03 RMA TOLL,Travel
01/02 STARBUCKS STORE,Food/Drinks
01/03 H-E-B  #218,Groceries
01/02 UBER   EATS,Food/Drinks
01/02 RPS*SULLIVAN RD,Rent/Mortgage
01/02 APPLE.COM/BILL,Entertainment
12/31 TACO CABANA 201,Food/Drinks
01/01 SONIC DRIVE IN,Food/Drinks
12/31 H-E-B  #218,Groceries
12/30 DOMINO'S 6613,Food/Drinks
12/31 H-E-B  #218,Groceries
01/01 SALVATION ARMY,Shopping
MOBILE XFR CR,Transfers
